Code,License Type,Indicator Name,Long definition
HIC,High income,,
LMY,Low & middle income,,
LMC,Lower middle income,,
MIC,Middle income,,
LIC,Low income,,
UMC,Upper middle income,,
AFG,Islamic State of Afghanistan,Low income,Middle East & North Africa
ALB,Republic of Albania,Upper middle income,Europe & Central Asia
DZA,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa
ASM,American Samoa,High income,East Asia & Pacific
AND,Principality of Andorra,High income,Europe & Central Asia
AGO,People's Republic of Angola,Lower middle income,Sub-Saharan Africa
ATG,Antigua and Barbuda,High income,Latin America & Caribbean
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia
ABW,Aruba,High income,Latin America & Caribbean
AUS,Commonwealth of Australia,High income,East Asia & Pacific
AUT,Republic of Austria,High income,Europe & Central Asia
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia
BHS,Commonwealth of The Bahamas,High income,Latin America & Caribbean
BHR,Kingdom of Bahrain,High income,Middle East & North Africa
BGD,People's Republic of Bangladesh,Lower middle income,South Asia
BRB,Barbados,High income,Latin America & Caribbean
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia
BEL,Kingdom of Belgium,High income,Europe & Central Asia
BLZ,Belize,Upper middle income,Latin America & Caribbean
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa
BMU,The Bermudas,High income,North America
BTN,Kingdom of Bhutan,Lower middle income,South Asia
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean
VGB,British Virgin Islands,High income,Latin America & Caribbean
BRN,Brunei Darussalam,High income,East Asia & Pacific
BGR,Republic of Bulgaria,High income,Europe & Central Asia
BFA,Burkina Faso,Low income,Sub-Saharan Africa
BDI,Republic of Burundi,Low income,Sub-Saharan Africa
CPV,Republic of Cabo Verde,Upper middle income,Sub-Saharan Africa
KHM,Kingdom of Cambodia,Lower middle income,East Asia & Pacific
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa
CAN,Canada,High income,North America
CYM,Cayman Islands,High income,Latin America & Caribbean
CAF,Central African Republic,Low income,Sub-Saharan Africa
TCD,Republic of Chad,Low income,Sub-Saharan Africa
CHI,Channel Islands,High income,Europe & Central Asia
CHL,Republic of Chile,High income,Latin America & Caribbean
CHN,People's Republic of China,Upper middle income,East Asia & Pacific
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean
COM,Union of the Comoros,Lower middle income,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa
CRI,Republic of Costa Rica,High income,Latin America & Caribbean
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa
HRV,Republic of Croatia,High income,Europe & Central Asia
CUB,Republic of Cuba,Upper middle income,Latin America & Caribbean
CUW,Curaçao,High income,Latin America & Caribbean
CYP,Republic of Cyprus,High income,Europe & Central Asia
CZE,Czech Republic,High income,Europe & Central Asia
DNK,Kingdom of Denmark,High income,Europe & Central Asia
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa
SLV,Republic of El Salvador,Upper middle income,Latin America & Caribbean
GNQ,Republic of Equatorial Guinea,Upper middle income,Sub-Saharan Africa
ERI,State of Eritrea,Low income,Sub-Saharan Africa
EST,Republic of Estonia,High income,Europe & Central Asia
SWZ,Kingdom of Eswatini,Lower middle income,Sub-Saharan Africa
ETH,Federal Democratic Republic of Ethiopia,,Sub-Saharan Africa
FRO,Faroe Islands,High income,Europe & Central Asia
FJI,Republic of Fiji,Upper middle income,East Asia & Pacific
FIN,Republic of Finland,High income,Europe & Central Asia
FRA,French Republic,High income,Europe & Central Asia
PYF,French Polynesia,High income,East Asia & Pacific
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa
GMB,Republic of The Gambia,Low income,Sub-Saharan Africa
GEO,Georgia,Upper middle income,Europe & Central Asia
DEU,Federal Republic of Germany,High income,Europe & Central Asia
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa
GIB,Gibraltar,High income,Europe & Central Asia
GRC,Hellenic Republic,High income,Europe & Central Asia
GRL,Greenland,High income,Europe & Central Asia
GRD,Grenada,Upper middle income,Latin America & Caribbean
GUM,Guam,High income,East Asia & Pacific
GTM,Republic of Guatemala,Upper middle income,Latin America & Caribbean
GIN,Republic of Guinea,Lower middle income,Sub-Saharan Africa
GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa
GUY,Co-operative Republic of Guyana,High income,Latin America & Caribbean
HTI,Republic of Haiti,Lower middle income,Latin America & Caribbean
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean
HKG,Hong Kong Special Administrative Region of the People's Republic of China,High income,East Asia & Pacific
HUN,Hungary,High income,Europe & Central Asia
ISL,Republic of Iceland,High income,Europe & Central Asia
IND,Republic of India,Lower middle income,South Asia
IDN,Republic of Indonesia,Upper middle income,East Asia & Pacific
IRN,Islamic Republic of Iran,Upper middle income,Middle East & North Africa
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa
IRL,Ireland,High income,Europe & Central Asia
IMN,Isle of Man,High income,Europe & Central Asia
ISR,State of Israel,High income,Middle East & North Africa
ITA,Italian Republic,High income,Europe & Central Asia
JAM,Jamaica,Upper middle income,Latin America & Caribbean
JPN,Japan,High income,East Asia & Pacific
JOR,Hashemite Kingdom of Jordan,Lower middle income,Middle East & North Africa
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia
KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa
KIR,Republic of Kiribati,Lower middle income,East Asia & Pacific
PRK,Democratic People's Republic of Korea,Low income,East Asia & Pacific
KOR,Republic of Korea,High income,East Asia & Pacific
XKX,Republic of Kosovo,Upper middle income,Europe & Central Asia
